Input,Output
Given the tweet 'Combien de soignants ont leur schma vaccinal anti-covid complet ?'; return a list of possible hashtags separated by spaces,#foutagedegueule
Given the tweet '3/ ricordiamo come i giornali  diffondevano menzogne sullimmunit naturale da  per pompare i finti'; return a list of possible hashtags separated by spaces,#mainstream #Covid #vaccini
Given the tweet 'Engraado Globo o covid acabou? No fala mais carnaval todos sem mscara e aglomerados! Cad aquele informe de mortos por causa do covid?  vcs so incoerentes um cncer para comunicao brasileira!!'; return a list of possible hashtags separated by spaces,#SP1 #GloboLixo
Given the tweet 'Fin de lobligation vaccinale du Covid pour les  en France? Que vous soyiez dfaitiste ou pas dites-vous bien que c'; return a list of possible hashtags separated by spaces,#soignants
Given the tweet 'Estados Unidos    Los mdicos empezarn a informar a los pacientes que se vayan a inocular l'; return a list of possible hashtags separated by spaces,#EEUU #USA #Florida
Given the tweet 'Da 1.071 Lucha contra la COVID-19 en Venezuela registra 13 nuevos contagios en las ltimas 24 horas'; return a list of possible hashtags separated by spaces,#Entrate
Given the tweet 'Trois biologistes mdicaux ont t condamns lundi par le tribunal de Nice des peines de 8 18 mois demprisonnement avec sursis pour avoir dlivr en 2020 prs de 500 tests  ngatifs sans avoir effectu les analyses  via'; return a list of possible hashtags separated by spaces,#COVID19
Given the tweet 'Watch the  vaccine propaganda in the sober light of 2023 and tell me the world didnt lose its mind... If you think th'; return a list of possible hashtags separated by spaces,#covid
Given the tweet 'Lvate las manos frecuentemente con agua y jabn o con antibacterial a base de alcohol. Protegerte de la -19'; return a list of possible hashtags separated by spaces,#Covid #Cu
Given the tweet 'Estados Unidos    Los mdicos empezarn a informar a los pacientes que se vayan a inocular l'; return a list of possible hashtags separated by spaces,#EEUU #USA #Florida
Given the tweet 'Blood test could predict the likelihood of developing  study suggests BBC Science Focus Magazine'; return a list of possible hashtags separated by spaces,#longcovid
Given the tweet 'Fier de notre vaste enqute auprs de 3690 personnes en grande  qui a permis didentifier leurs facteurs dac'; return a list of possible hashtags separated by spaces,#prcarit
